Timestamp,PID,Nome,CPU_Percent,Memoria_MB,Swap_MB,IO_Read_Bps,IO_Write_Bps,Net_RX_Bps,Net_TX_Bps,Threads,Vol_Ctxt_Switches,NonVol_Ctxt_Switches,Minor_Page_Faults,Major_Page_Faults,Syscalls_Read,Syscalls_Write
1762905156,1,systemd,0.00,12.23,0.00,0,0,142596037,1812494,1,5678,105,16123,114,0,0
1762905156,519,node,0.00,990.10,0.00,56070144,348160,142596037,1812494,14,1344528,628,5495772,154,3597659,2026037
1762905158,1,systemd,0.15,12.23,0.00,0,0,64,64,1,5681,105,16123,114,0,0
1762905158,519,node,0.73,990.10,0.00,0,3971,64,64,14,1344587,628,5496721,154,3597857,2026099
1762905160,1,systemd,0.10,12.23,0.00,0,0,0,0,1,5681,105,16123,114,0,0
1762905160,519,node,1.26,990.10,0.00,0,0,0,0,14,1344634,628,5496782,154,3597887,2026130
1762905162,1,systemd,0.07,12.23,0.00,0,0,0,0,1,5681,105,16123,114,0,0
1762905162,519,node,1.03,990.10,0.00,0,0,0,0,14,1344671,628,5496783,154,3597911,2026155
1762905164,1,systemd,0.05,12.23,0.00,0,0,44,44,1,5683,105,16123,114,0,0
1762905164,519,node,1.46,990.10,0.00,0,0,44,44,14,1344730,628,5497608,154,3598113,2026219
1762905166,1,systemd,0.03,12.23,0.00,0,0,0,0,1,5683,105,16123,114,0,0
1762905166,519,node,1.17,990.10,0.00,0,0,0,0,14,1344765,628,5497608,154,3598137,2026243
1762905167,1,systemd,0.02,12.23,0.00,0,0,45,45,1,5685,105,16123,114,0,0
1762905167,519,node,1.72,990.10,0.00,0,0,45,45,14,1344822,628,5498907,154,3598337,2026306
1762905169,1,systemd,0.02,12.23,0.00,0,0,0,0,1,5685,105,16123,114,0,0
1762905169,519,node,1.35,990.10,0.00,0,0,0,0,14,1344856,628,5498910,154,3598360,2026325
1762905171,1,systemd,0.01,12.23,0.00,0,0,0,0,1,5685,105,16123,114,0,0
1762905171,519,node,1.09,990.10,0.00,0,0,0,0,14,1344891,628,5498973,154,3598384,2026349
1762905180,1,systemd,0.01,12.23,0.00,0,0,0,45,1,5688,105,16123,114,0,0
1762905180,519,node,1.51,990.10,0.00,0,0,0,45,14,1344954,628,5499821,154,3598584,2026412
1762905175,1,systemd,0.01,12.23,0.00,0,0,45,0,1,5689,105,16123,114,0,0
1762905175,519,node,1.36,990.10,0.00,0,0,45,0,14,1344987,628,5499824,154,3598608,2026435
1762905177,1,systemd,0.00,12.23,0.00,0,0,0,0,1,5689,105,16123,114,0,0
1762905177,519,node,1.70,990.10,0.00,0,0,0,0,14,1345052,628,5501134,154,3598811,2026500
1762905178,1,systemd,0.15,12.23,0.00,0,0,45,45,1,5692,105,16123,114,0,0
1762905178,519,node,1.49,990.10,0.00,0,0,45,45,14,1345085,628,5501138,154,3598834,2026519
